date,node,hour,predicted_deficit_mwh
2026-08-20,안중,0,0.0
2026-08-20,서화성,0,0.0
2026-08-20,안중,1,0.0
2026-08-20,서화성,1,0.0
2026-08-20,안중,2,0.0
2026-08-20,서화성,2,0.0
2026-08-20,안중,3,0.0
2026-08-20,서화성,3,0.0
2026-08-20,안중,4,0.0
2026-08-20,서화성,4,0.0
2026-08-20,안중,5,0.0
2026-08-20,서화성,5,0.0
2026-08-20,안중,6,0.0
2026-08-20,서화성,6,0.0
2026-08-20,안중,7,0.0
2026-08-20,서화성,7,0.0
2026-08-20,안중,8,0.0
2026-08-20,서화성,8,0.0
2026-08-20,안중,9,0.0
2026-08-20,서화성,9,0.0
2026-08-20,안중,10,11.4
2026-08-20,서화성,10,12.54
2026-08-20,안중,11,11.4
2026-08-20,서화성,11,12.54
2026-08-20,안중,12,11.4
2026-08-20,서화성,12,12.54
2026-08-20,안중,13,11.4
2026-08-20,서화성,13,12.54
2026-08-20,안중,14,11.4
2026-08-20,서화성,14,12.54
2026-08-20,안중,15,33.25
2026-08-20,서화성,15,36.575
2026-08-20,안중,16,33.25
2026-08-20,서화성,16,36.575
2026-08-20,안중,17,33.25
2026-08-20,서화성,17,36.575
2026-08-20,안중,18,33.25
2026-08-20,서화성,18,36.575
2026-08-20,안중,19,33.25
2026-08-20,서화성,19,36.575
2026-08-20,안중,20,33.25
2026-08-20,서화성,20,36.575
2026-08-20,안중,21,0.0
2026-08-20,서화성,21,0.0
2026-08-20,안중,22,0.0
2026-08-20,서화성,22,0.0
2026-08-20,안중,23,0.0
2026-08-20,서화성,23,0.0
2026-08-21,안중,0,0.0
2026-08-21,서화성,0,0.0
2026-08-21,안중,1,0.0
2026-08-21,서화성,1,0.0
2026-08-21,안중,2,0.0
2026-08-21,서화성,2,0.0
2026-08-21,안중,3,0.0
2026-08-21,서화성,3,0.0
2026-08-21,안중,4,0.0
2026-08-21,서화성,4,0.0
2026-08-21,안중,5,0.0
2026-08-21,서화성,5,0.0
2026-08-21,안중,6,0.0
2026-08-21,서화성,6,0.0
2026-08-21,안중,7,0.0
2026-08-21,서화성,7,0.0
2026-08-21,안중,8,0.0
2026-08-21,서화성,8,0.0
2026-08-21,안중,9,0.0
2026-08-21,서화성,9,0.0
2026-08-21,안중,10,15.0
2026-08-21,서화성,10,16.5
2026-08-21,안중,11,15.0
2026-08-21,서화성,11,16.5
2026-08-21,안중,12,15.0
2026-08-21,서화성,12,16.5
2026-08-21,안중,13,15.0
2026-08-21,서화성,13,16.5
2026-08-21,안중,14,15.0
2026-08-21,서화성,14,16.5
2026-08-21,안중,15,43.75
2026-08-21,서화성,15,48.125
2026-08-21,안중,16,43.75
2026-08-21,서화성,16,48.125
2026-08-21,안중,17,43.75
2026-08-21,서화성,17,48.125
2026-08-21,안중,18,43.75
2026-08-21,서화성,18,48.125
2026-08-21,안중,19,43.75
2026-08-21,서화성,19,48.125
2026-08-21,안중,20,43.75
2026-08-21,서화성,20,48.125
2026-08-21,안중,21,0.0
2026-08-21,서화성,21,0.0
2026-08-21,안중,22,0.0
2026-08-21,서화성,22,0.0
2026-08-21,안중,23,0.0
2026-08-21,서화성,23,0.0
2026-08-22,안중,0,0.0
2026-08-22,서화성,0,0.0
2026-08-22,안중,1,0.0
2026-08-22,서화성,1,0.0
2026-08-22,안중,2,0.0
2026-08-22,서화성,2,0.0
2026-08-22,안중,3,0.0
2026-08-22,서화성,3,0.0
2026-08-22,안중,4,0.0
2026-08-22,서화성,4,0.0
2026-08-22,안중,5,0.0
2026-08-22,서화성,5,0.0
2026-08-22,안중,6,0.0
2026-08-22,서화성,6,0.0
2026-08-22,안중,7,0.0
2026-08-22,서화성,7,0.0
2026-08-22,안중,8,0.0
2026-08-22,서화성,8,0.0
2026-08-22,안중,9,0.0
2026-08-22,서화성,9,0.0
2026-08-22,안중,10,9.6
2026-08-22,서화성,10,10.56
2026-08-22,안중,11,9.6
2026-08-22,서화성,11,10.56
2026-08-22,안중,12,9.6
2026-08-22,서화성,12,10.56
2026-08-22,안중,13,9.6
2026-08-22,서화성,13,10.56
2026-08-22,안중,14,9.6
2026-08-22,서화성,14,10.56
2026-08-22,안중,15,28.0
2026-08-22,서화성,15,30.8
2026-08-22,안중,16,28.0
2026-08-22,서화성,16,30.8
2026-08-22,안중,17,28.0
2026-08-22,서화성,17,30.8
2026-08-22,안중,18,28.0
2026-08-22,서화성,18,30.8
2026-08-22,안중,19,28.0
2026-08-22,서화성,19,30.8
2026-08-22,안중,20,28.0
2026-08-22,서화성,20,30.8
2026-08-22,안중,21,0.0
2026-08-22,서화성,21,0.0
2026-08-22,안중,22,0.0
2026-08-22,서화성,22,0.0
2026-08-22,안중,23,0.0
2026-08-22,서화성,23,0.0
2026-08-23,안중,0,0.0
2026-08-23,서화성,0,0.0
2026-08-23,안중,1,0.0
2026-08-23,서화성,1,0.0
2026-08-23,안중,2,0.0
2026-08-23,서화성,2,0.0
2026-08-23,안중,3,0.0
2026-08-23,서화성,3,0.0
2026-08-23,안중,4,0.0
2026-08-23,서화성,4,0.0
2026-08-23,안중,5,0.0
2026-08-23,서화성,5,0.0
2026-08-23,안중,6,0.0
2026-08-23,서화성,6,0.0
2026-08-23,안중,7,0.0
2026-08-23,서화성,7,0.0
2026-08-23,안중,8,0.0
2026-08-23,서화성,8,0.0
2026-08-23,안중,9,0.0
2026-08-23,서화성,9,0.0
2026-08-23,안중,10,13.2
2026-08-23,서화성,10,14.52
2026-08-23,안중,11,13.2
2026-08-23,서화성,11,14.52
2026-08-23,안중,12,13.2
2026-08-23,서화성,12,14.52
2026-08-23,안중,13,13.2
2026-08-23,서화성,13,14.52
2026-08-23,안중,14,13.2
2026-08-23,서화성,14,14.52
2026-08-23,안중,15,38.5
2026-08-23,서화성,15,42.35
2026-08-23,안중,16,38.5
2026-08-23,서화성,16,42.35
2026-08-23,안중,17,38.5
2026-08-23,서화성,17,42.35
2026-08-23,안중,18,38.5
2026-08-23,서화성,18,42.35
2026-08-23,안중,19,38.5
2026-08-23,서화성,19,42.35
2026-08-23,안중,20,38.5
2026-08-23,서화성,20,42.35
2026-08-23,안중,21,0.0
2026-08-23,서화성,21,0.0
2026-08-23,안중,22,0.0
2026-08-23,서화성,22,0.0
2026-08-23,안중,23,0.0
2026-08-23,서화성,23,0.0
